iter	Passed	Remaining
0	0	62
1	1	59
2	1	58
3	2	57
4	3	57
5	3	58
6	4	58
7	5	58
8	5	58
9	6	57
10	7	56
11	7	56
12	8	55
13	8	55
14	9	54
15	10	54
16	10	53
17	11	52
18	12	52
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	64	0
99	64	0
